Year,Seasons,Division,Make,Number.of.Engines,Engine.Type,Purpose.of.Flight,Weather.Condition,Broad.Phase.of.Flight,Injury.Severity
2019,Winter,FWST,Cessna,1.0,1,Personal,VMC,TAKEOFF,0
2019,Winter,PLNS,Mooney,1.0,1,Personal,VMC,TAKEOFF,1
2019,Winter,SEST,Piper,2.0,0,Others,IMC,TAKEOFF,1
2019,Winter,GRLK,Cessna,1.0,1,Instructional,VMC,LANDING,0
2019,Winter,FWST,Cessna,1.0,1,Personal,VMC,CRUISE,0
2019,Winter,SWST,Piper,2.0,1,Personal,VMC,APPROACH,0
2019,Winter,SWST,Beech,1.0,1,Personal,VMC,TAKEOFF,0
2019,Winter,SEST,Cessna,1.0,1,Personal,VMC,CRUISE,1
2019,Winter,SEST,Piper,1.0,1,Instructional,VMC,APPROACH,0
2019,Winter,SWST,Piper,1.0,1,Instructional,VMC,APPROACH,1
2019,Fall,NWED,Piper,1.0,1,Instructional,VMC,LANDING,1
2019,Fall,SEST,Beech,1.0,1,Personal,VMC,TAKEOFF,1
2019,Fall,FWST,Grumman,1.0,1,Personal,VMC,TAKEOFF,1
2019,Fall,FWST,Piper,1.0,1,Others,VMC,MANEUVERING,0
2019,Fall,SWST,Cessna,1.0,1,Personal,VMC,CLIMB,0
2019,Fall,PLNS,Cessna,1.0,0,Personal,VMC,STANDING,0
2019,Fall,SEST,Mooney,1.0,1,Personal,VMC,APPROACH,1
2019,Fall,FWST,Piper,1.0,1,Others,VMC,TAKEOFF,0
2019,Fall,RMTN,Beech,2.0,1,Personal,VMC,LANDING,0
2019,Fall,SWST,Piper,1.0,1,Personal,VMC,TAKEOFF,1
2019,Fall,SWST,Cessna,1.0,1,Personal,VMC,TAKEOFF,0
2019,Fall,RMTN,Cessna,1.0,1,Personal,UNK,CRUISE,0
2019,Fall,NWED,Cessna,1.0,1,Personal,VMC,MANEUVERING,1
2019,Fall,SEST,Beech,2.0,1,Personal,VMC,DESCENT,0
2019,Fall,SEST,Grumman,2.0,0,Others,VMC,MANEUVERING,1
2019,Fall,FWST,Cessna,1.0,1,Personal,VMC,OTHERS,1
2019,Fall,SEST,Piper,1.0,1,Personal,VMC,APPROACH,1
2019,Fall,SEST,Beech,2.0,1,Others,VMC,TAKEOFF,1
2019,Fall,SEST,Piper,1.0,1,Personal,IMC,TAKEOFF,1
2019,Fall,MEST,Cessna,2.0,1,Personal,IMC,APPROACH,1
2019,Fall,SEST,Piper,1.0,1,Personal,VMC,TAKEOFF,0
